Country;Region;Happiness Rank;Happiness Score;Economy (GDP per Capita);Social Support;Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual;Year
Switzerland;Western Europe;1;7.587;139.651;;1.34951;0.94143;0.66557;0.41978;0.29678;2.51738;2015
Iceland;Western Europe;2;7.561;130.232;;1.40223;0.94784;0.62877;0.14145;0.4363;2.70201;2015
Denmark;Western Europe;3;7.527;132548,00;;1.36058;0.87464;0.64938;0.48357;0.34139;2.49204;2015
Norway;Western Europe;4;7.522;1459,00;;1.33095;0.88521;0.66973;0.36503;0.34699;2.46531;2015
Canada;North America;5;7.427;132.629;;1.32261;0.90563;0.63297;0.32957;0.45811;2.45176;2015
Finland;Western Europe;6;7.406;129.025;;1.31826;0.88911;0.64169;0.41372;0.23351;2.61955;2015
Netherlands;Western Europe;7;7.378;132.944;;1.28017;0.89284;0.61576;0.31814;0.4761;2.4657;2015
Sweden;Western Europe;8;7.364;133.171;;1.28907;0.91087;0.6598;0.43844;0.36262;2.37119;2015
New Zealand;Australia and New Zealand;9;7.286;125.018;;1.31967;0.90837;0.63938;0.42922;0.47501;2.26425;2015
Australia;Australia and New Zealand;10;7.284;133.358;;1.30923;0.93156;0.65124;0.35637;0.43562;2.26646;2015
Israel;Middle East and Northern Africa;11;7.278;122.857;;1.22393;0.91387;0.41319;0.07785;0.33172;3.08854;2015
Costa Rica;Latin America and Caribbean;12;7.226;0.95578;;1.23788;0.86027;0.63376;0.10583;0.25497;3.17728;2015
Austria;Western Europe;13;7.2;133.723;;1.29704;0.89042;0.62433;0.18676;0.33088;2.5332;2015
Mexico;Latin America and Caribbean;14;7.187;102.054;;0.91451;0.81444;0.48181;0.21312;0.14074;3.60214;2015
United States;North America;15;7.119;139.451;;1.24711;0.86179;0.54604;0.1589;0.40105;2.51011;2015
Brazil;Latin America and Caribbean;16;6.983;0.98124;;1.23287;0.69702;0.49049;0.17521;0.14574;3.26001;2015
Luxembourg;Western Europe;17;6.946;156.391;;1.21963;0.91894;0.61583;0.37798;0.28034;1.96961;2015
Ireland;Western Europe;18;6.94;133.596;;1.36948;0.89533;0.61777;0.28703;0.45901;1.9757;2015
Belgium;Western Europe;19;6.937;130.782;;1.28566;0.89667;0.5845;0.2254;0.2225;2.41484;2015
United Arab Emirates;Middle East and Northern Africa;20;6.901;142.727;;1.12575;0.80925;0.64157;0.38583;0.26428;2.24743;2015
United Kingdom;Western Europe;21;6.867;126.637;;1.28548;0.90943;0.59625;0.32067;0.51912;1.96994;2015
Oman;Middle East and Northern Africa;22;6.853;136.011;;1.08182;0.76276;0.63274;0.32524;0.21542;2.47489;2015
Venezuela;Latin America and Caribbean;23;6.81;104.424;;1.25596;0.72052;0.42908;0.11069;0.05841;3.19131;2015
Singapore;Southeastern Asia;24;6.798;152.186;;1.02;1.02525;0.54252;0.4921;0.31105;1.88501;2015
Panama;Latin America and Caribbean;25;6.786;106.353;;1.1985;0.79661;0.5421;0.0927;0.24434;2.84848;2015
Germany;Western Europe;26;6.75;132.792;;1.29937;0.89186;0.61477;0.21843;0.28214;2.11569;2015
Chile;Latin America and Caribbean;27;6.67;110.715;;1.12447;0.85857;0.44132;0.12869;0.33363;2.67585;2015
Qatar;Middle East and Northern Africa;28;6.611;169.042;;1.0786;0.79733;0.6404;0.52208;0.32573;1.55674;2015
France;Western Europe;29;6.575;127.778;;1.26038;0.94579;0.55011;0.20646;0.12332;2.21126;2015
Argentina;Latin America and Caribbean;30;6.574;105.351;;1.24823;0.78723;0.44974;0.08484;0.11451;2.836;2015
Czech Republic;Central and Eastern Europe;31;6.505;117.898;;1.20643;0.84483;0.46364;0.02652;0.10686;2.67782;2015
Uruguay;Latin America and Caribbean;32;6.485;106.166;;1.2089;0.8116;0.60362;0.24558;0.2324;2.32142;2015
Colombia;Latin America and Caribbean;33;6.477;0.91861;;1.24018;0.69077;0.53466;0.0512;0.18401;2.85737;2015
Thailand;Southeastern Asia;34;6.455;0.9669;;1.26504;0.7385;0.55664;0.03187;0.5763;2.31945;2015
Saudi Arabia;Middle East and Northern Africa;35;6.411;139.541;;1.08393;0.72025;0.31048;0.32524;0.13706;2.43872;2015
Spain;Western Europe;36;6.329;123.011;;1.31379;0.95562;0.45951;0.06398;0.18227;2.12367;2015
Malta;Western Europe;37;6.302;12.074;;1.30203;0.88721;0.60365;0.13586;0.51752;1.6488;2015
Taiwan;Eastern Asia;38;6.298;129.098;;1.07617;0.8753;0.3974;0.08129;0.25376;2.32323;2015
Kuwait;Middle East and Northern Africa;39;6.295;155.422;;1.16594;0.72492;0.55499;0.25609;0.16228;1.87634;2015
Suriname;Latin America and Caribbean;40;6.269;0.99534;;972;0.6082;0.59657;0.13633;0.16991;2.79094;2015
Trinidad and Tobago;Latin America and Caribbean;41;6.168;121.183;;1.18354;0.61483;0.55884;0.0114;0.31844;2.26882;2015
El Salvador;Latin America and Caribbean;42;6.13;0.76454;;1.02507;0.67737;0.4035;0.11776;0.10692;3.035;2015
Guatemala;Latin America and Caribbean;43;6.123;0.74553;;1.04356;0.64425;0.57733;0.09472;0.27489;2.74255;2015
Uzbekistan;Central and Eastern Europe;44;6.003;0.63244;;1.34043;0.59772;0.65821;0.30826;0.22837;2.23741;2015
Slovakia;Central and Eastern Europe;45;5.995;116.891;;1.26999;0.78902;0.31751;0.03431;0.16893;2.24639;2015
Japan;Eastern Asia;46;5.987;127.074;;1.25712;0.99111;0.49615;0.1806;0.10705;1.68435;2015
South Korea;Eastern Asia;47;5.984;124.461;;0.95774;0.96538;0.33208;0.07857;0.18557;2.21978;2015
Ecuador;Latin America and Caribbean;48;5.975;0.86402;;0.99903;0.79075;0.48574;0.1809;0.11541;2.53942;2015
Bahrain;Middle East and Northern Africa;49;5.96;132.376;;1.21624;0.74716;0.45492;306;0.17362;1.73797;2015
Italy;Western Europe;50;5.948;125.114;;1.19777;0.95446;0.26236;0.02901;0.22823;2.02518;2015
Bolivia;Latin America and Caribbean;51;5.89;0.68133;;0.97841;0.5392;0.57414;88;0.20536;2.82334;2015
Moldova;Central and Eastern Europe;52;5.889;0.59448;;1.01528;0.61826;0.32818;0.01615;0.20951;3.10712;2015
Paraguay;Latin America and Caribbean;53;5.878;0.75985;;1.30477;0.66098;0.53899;0.08242;0.3424;2.18896;2015
Kazakhstan;Central and Eastern Europe;54;5.855;112.254;;1.12241;0.64368;0.51649;0.08454;0.11827;2.24729;2015
Slovenia;Central and Eastern Europe;55;5.848;118.498;;1.27385;0.87337;0.60855;0.03787;0.25328;1.61583;2015
